round,agent_id,parent_id,birth_round,expected,submitted,correct,output_tokens,profit,balance_after
1,1,,0,3735721535,3736250535,False,221,-400.0,600.0
1,2,,0,3735721535,3735721535,True,482,100.0,1100.0
1,3,,0,3735721535,3736225035,False,284,-400.0,600.0
1,4,,0,3735721535,3737750535,False,216,-400.0,600.0
1,5,,0,3735721535,3735938535,False,209,-400.0,600.0
1,6,,0,3735721535,3737420535,False,221,-400.0,600.0
1,7,,0,3735721535,3762414825,False,335,-400.0,600.0
1,8,,0,3735721535,"3,726,876,235",False,184,-400.0,600.0
1,9,,0,3735721535,3735721535,True,336,100.0,1100.0
1,10,,0,3735721535,3737535535,False,232,-400.0,600.0
1,11,,0,3735721535,3735721535,True,448,100.0,1100.0
1,12,,0,3735721535,3736238535,False,313,-400.0,600.0
1,13,,0,3735721535,3736430735,False,270,-400.0,600.0
1,14,,0,3735721535,3736255035,False,296,-400.0,600.0
1,15,,0,3735721535,3735721535,True,339,100.0,1100.0
1,16,,0,3735721535,3735721535,True,295,100.0,1100.0
1,17,,0,3735721535,3735721535,True,315,100.0,1100.0
1,18,,0,3735721535,3737735535,False,199,-400.0,600.0
1,19,,0,3735721535,3735721535,True,326,100.0,1100.0
1,20,,0,3735721535,"3,742,449,711",False,293,-400.0,600.0
2,1,,0,-101505943,-101799343,False,334,-400.0,200.0
2,2,,0,-101505943,-101778343,False,211,-400.0,700.0
2,3,,0,-101505943,-101927743,False,302,-400.0,200.0
2,4,,0,-101505943,-101505943,True,544,100.0,700.0
2,5,,0,-101505943,-101745943,False,202,-400.0,200.0
2,6,,0,-101505943,-101505943,True,438,100.0,700.0
2,7,,0,-101505943,-101839543,False,352,-400.0,200.0
2,8,,0,-101505943,-102082543,False,334,-400.0,200.0
2,9,,0,-101505943,-101505943,True,438,100.0,1200.0
2,10,,0,-101505943,-102192943,False,355,-400.0,200.0
2,11,,0,-101505943,-101505943,True,478,100.0,1200.0
2,12,,0,-101505943,-101790343,False,318,-400.0,200.0
2,13,,0,-101505943,-101505943,True,287,100.0,700.0
2,14,,0,-101505943,-101913743,False,273,-400.0,200.0
2,15,,0,-101505943,-101505943,True,438,100.0,1200.0
2,16,,0,-101505943,-101802743,False,212,-400.0,700.0
2,17,,0,-101505943,-101505943,True,438,100.0,1200.0
2,18,,0,-101505943,-101505943,True,460,100.0,700.0
